drinks; people; light; temperature; humidity; totalDrinks; totalPeople; totalLight; totalTemperature; totalHumidity
2;0;103.94;19.00;20.00;2;0;103.94;19.00;20.00
1;0;101.91;19.00;18.00;3;0;102.93;19.00;19.00
0;4;92.29;19.00;18.00;3;4;99.38;19.00;18.67
3;0;107.67;19.00;20.00;6;4;101.45;19.00;19.00
2;0;18.12;20.00;35.00;8;4;84.79;19.20;22.20
2;2;114.73;20.00;40.00;10;6;89.78;19.33;25.17
2;2;87.63;20.00;39.00;12;8;89.47;19.43;27.14
1;0;98.54;20.00;39.00;13;8;90.60;19.50;28.63
1;2;24.46;20.00;37.00;14;10;83.25;19.56;29.56
1;1;100.92;20.00;37.00;15;11;85.02;19.60;30.30
1;1;103.59;21.00;44.00;16;12;86.71;19.73;31.55
3;1;92.57;21.00;43.00;19;13;87.20;19.83;32.50
0;0;117.03;20.00;43.00;19;13;89.49;19.85;33.31
1;1;95.33;20.00;42.00;20;14;89.91;19.86;33.93
3;2;104.51;20.00;41.00;23;16;90.88;19.87;34.40
3;3;108.82;20.00;40.00;26;19;92.00;19.88;34.75
