Hour;drink; steps;food;light;temperature;humidity;people;work;drinksTotal;lightTotal;temperatureTotal;humidityTotal;peopleTotal
0,5;1;S;F;94.84;25.00;27.00;3;W;1;25.00;94.84;27.00;3
1;7;S;F;94.09;25.00;22.00;7;W;8;25.00;94.46;24.50;10
1,5;1;S;F;100.63;27.00;20.00;1;W;9;25.67;96.52;23.00;11
2;4;S;F;72.71;25.00;26.00;12;W;13;25.50;90.57;23.75;23
2,5;0;S;F;89.09;29.00;16.00;2;W;13;26.20;90.27;22.20;25
3;0;S;F;78.53;29.00;19.00;3;W;13;26.67;88.32;21.67;28
3,5;0;S;F;73.44;31.00;12.00;3;W;13;27.29;86.19;20.29;31
4;0;S;F;79.78;27.00;24.00;0;W;13;27.25;85.39;20.75;31
4,5;0;S;F;84.54;30.00;24.00;62;W;13;27.56;85.29;21.11;93
5;0;S;F;79.54;29.00;24.00;9;W;13;27.70;84.72;21.40;102
5,5;0;S;F;83.06;30.00;24.00;20;W;13;27.91;84.57;21.64;122
6;0;S;F;79.69;31.00;18.00;1;W;13;28.17;84.16;21.33;123
6,5;0;S;F;76.70;31.00;23.00;3;W;13;28.38;83.59;21.46;126
7;0;S;F;83.48;30.00;24.00;1;W;13;28.50;83.58;21.64;127
7,5;0;S;F;53.11;31.00;18.00;6;W;13;28.67;81.55;21.40;133
8;0;S;F;54.95;32.00;14.00;1;W;13;28.88;79.89;20.94;134
8,5;0;S;F;79.60;31.00;18.00;1;W;13;29.00;79.87;20.76;135
9;0;S;F;75.32;32.00;13.00;0;W;13;29.17;79.62;20.33;135
9,5;0;S;F;74.57;32.00;13.00;0;W;13;29.32;79.35;19.95;135
10;0;S;F;62.83;32.00;12.00;0;W;13;29.45;78.52;19.55;135
10,5;0;S;F;51.29;32.00;12.00;0;W;13;29.57;77.23;19.19;135
11;0;S;F;53.63;32.00;12.00;0;W;13;29.68;76.16;18.86;135
11,5;0;S;F;70.25;32.00;12.00;0;W;13;29.78;75.90;18.57;135
12;0;S;F;86.91;32.00;12.00;0;W;13;29.88;76.36;18.29;135
12,5;0;S;F;81.93;32.00;15.00;0;W;13;29.96;76.58;18.16;135
13;0;S;F;82.05;32.00;13.00;0;W;13;30.04;76.79;17.96;135
13,5;0;S;F;73.75;32.00;13.00;0;W;13;30.11;76.68;17.78;135
14;0;S;F;85.10;30.00;14.00;0;W;13;30.11;76.98;17.64;135
14,5;0;S;F;90.17;30.00;13.00;0;W;13;30.10;77.43;17.48;135
15;0;S;F;80.50;30.00;13.00;0;W;13;30.10;77.54;17.33;135
15,5;0;S;F;66.25;30.00;13.00;0;W;13;30.10;77.17;17.19;135
16;0;S;F;86.14;29.00;14.00;0;W;13;30.06;77.45;17.09;135
