Hour;drink;steps;food;light;temperature;humidity;people;work;drinksTotal;lightTotal;temperatureTotal;humidityTotal;peopleTotal
0,5;3;S;F;161.39;24.00;63.00;6;W;3;24.00;161.39;63.00;6
1;1;S;F;152.26;23.00;59.00;4;W;4;23.50;156.82;61.00;10
1,5;1;S;F;165.61;24.00;59.00;4;W;5;23.67;159.75;60.33;14
2;1;S;F;157.16;25.00;57.00;15;W;6;24.00;159.11;59.50;29
2,5;5;S;F;161.94;26.00;57.00;10;W;11;24.40;159.67;59.00;39
3;10;S;F;143.67;27.00;56.00;6;W;21;24.83;157.01;58.50;45
3,5;10;S;F;167.69;27.00;56.00;14;W;31;25.14;158.53;58.14;59
4;9;S;F;149.33;27.00;56.00;2;W;40;25.38;157.38;57.88;61
4,5;1;S;F;154.75;27.00;57.00;2;W;41;25.56;157.09;57.78;63
5;2;S;F;143.04;27.00;58.00;1;W;43;25.70;155.68;57.80;64
5,5;0;S;F;143.61;27.00;59.00;16;W;43;25.82;154.59;57.91;80
6;0;S;F;151.37;28.00;59.00;0;W;43;26.00;154.32;58.00;80
6,5;0;S;F;156.39;28.00;58.00;0;W;43;26.15;154.48;58.00;80
7;0;S;F;143.59;28.00;58.00;0;W;43;26.29;153.70;58.00;80
7,5;0;S;F;141.60;28.00;57.00;0;W;43;26.40;152.89;57.93;80
8;0;S;F;153.94;29.00;56.00;0;W;43;26.56;152.96;57.81;80
8,5;0;S;F;157.20;29.00;55.00;5;W;43;26.71;153.21;57.65;85
9;0;S;F;148.00;27.00;58.00;5;W;43;26.72;152.92;57.67;90
9,5;0;S;F;140.35;28.00;57.00;2;W;43;26.79;152.26;57.63;92
10;0;S;F;152.03;28.00;57.00;55;W;43;26.85;152.25;57.60;147
10,5;0;S;F;142.13;32.00;49.00;31;W;43;27.10;151.76;57.19;178
11;0;S;F;149.04;30.00;55.00;0;W;43;27.23;151.64;57.09;178
11,5;0;S;F;150.51;30.00;54.00;0;W;43;27.35;151.59;56.96;178
12;0;S;F;139.33;30.00;53.00;0;W;43;27.46;151.08;56.79;178
12,5;0;S;F;151.86;29.00;55.00;0;W;43;27.52;151.11;56.72;178
13;0;S;F;148.82;29.00;55.00;0;W;43;27.58;151.02;56.65;178
13,5;0;S;F;156.01;29.00;55.00;0;W;43;27.63;151.21;56.59;178
14;0;S;F;156.56;28.00;56.00;0;W;43;27.64;151.40;56.57;178
14,5;0;S;F;146.40;28.00;56.00;0;W;43;27.66;151.23;56.55;178
15;0;S;F;157.44;27.00;56.00;0;W;43;27.63;151.43;56.53;178
15,5;0;S;F;148.32;27.00;56.00;0;W;43;27.61;151.33;56.52;178
16;0;S;F;154.13;27.00;56.00;0;W;43;27.59;151.42;56.50;178
16,5;0;S;F;157.49;27.00;56.00;0;W;43;27.58;151.60;56.48;178
17;0;S;F;156.46;27.00;56.00;0;W;43;27.56;151.75;56.47;178
17,5;0;S;F;146.33;27.00;56.00;0;W;43;27.54;151.59;56.46;178
18;0;S;F;149.62;27.00;56.00;0;W;43;27.53;151.54;56.44;178
18,5;0;S;F;149.45;27.00;55.00;0;W;43;27.51;151.48;56.41;178
19;0;S;F;157.37;27.00;55.00;0;W;43;27.50;151.64;56.37;178
19,5;0;S;F;147.77;27.00;55.00;0;W;43;27.49;151.54;56.33;178
20;0;S;F;160.85;27.00;55.00;0;W;43;27.48;151.77;56.30;178
20,5;0;S;F;155.60;27.00;56.00;0;W;43;27.46;151.86;56.29;178
21;0;S;F;140.43;27.00;56.00;0;W;43;27.45;151.59;56.29;178
21,5;0;S;F;151.82;27.00;56.00;0;W;43;27.44;151.60;56.28;178
22;0;S;F;156.14;27.00;56.00;0;W;43;27.43;151.70;56.27;178
22,5;0;S;F;150.18;26.00;57.00;0;W;43;27.40;151.67;56.29;178
23;0;S;F;147.41;26.00;57.00;3;W;43;27.37;151.57;56.30;181
23,5;0;S;F;156.02;21.00;67.00;2;W;43;27.23;151.67;56.53;183
24;1;S;F;170.62;24.00;63.00;7;W;44;27.17;152.06;56.67;190
24,5;0;S;F;169.93;21.00;69.00;2;W;44;27.04;152.43;56.92;192
25;2;S;F;170.70;21.00;69.00;0;W;46;26.92;152.79;57.16;192
25,5;0;S;F;164.82;21.00;71.00;15;W;46;26.80;153.03;57.43;207
26;0;S;F;160.68;21.00;70.00;32;W;46;26.69;153.18;57.67;239
26,5;0;S;F;155.18;23.00;66.00;0;W;46;26.62;153.21;57.83;239
27;3;S;F;167.57;23.00;64.00;7;W;49;26.56;153.48;57.94;246
27,5;1;S;F;161.65;23.00;64.00;7;W;50;26.49;153.63;58.05;253
28;1;S;F;170.63;24.00;63.00;8;W;51;26.45;153.93;58.14;261
