hour;drink;steps;food;light;temperature;humidity;people;work;drinksTotal;lightTotal;temperatureTotal;humidityTotal;peopleTotal
0,5;6;S;F;938.80;23.00;64.00;4;W;6;23.00;938.80;64.00;4
1;4;S;F;943.66;27.00;56.00;0;W;10;25.00;941.23;60.00;4
1,5;10;S;F;936.65;27.00;58.00;9;W;20;25.67;939.70;59.33;13
2;3;S;F;975.49;27.00;57.00;0;W;23;26.00;948.65;58.75;13
2,5;7;S;F;954.80;28.00;55.00;4;W;30;26.40;949.88;58.00;17
3;2;S;F;962.68;28.00;55.00;0;W;32;26.67;952.01;57.50;17
3,5;4;S;F;964.70;28.00;58.00;0;W;36;26.86;953.83;57.57;17
4;8;S;F;959.81;28.00;58.00;0;W;44;27.00;954.57;57.63;17
4,5;2;S;F;952.81;28.00;59.00;0;W;46;27.11;954.38;57.78;17
5;2;S;F;949.80;28.00;59.00;3;W;48;27.20;953.92;57.90;20
5,5;0;S;F;951.09;28.00;60.00;0;W;48;27.27;953.66;58.09;20
6;0;S;F;946.92;28.00;59.00;0;W;48;27.33;953.10;58.17;20
6,5;2;S;F;945.08;28.00;59.00;1;W;50;27.38;952.48;58.23;21
7;4;S;F;783.76;28.00;60.00;0;W;54;27.43;940.43;58.36;21
7,5;0;S;F;769.62;28.00;60.00;0;W;54;27.47;929.04;58.47;21
8;0;S;F;766.59;27.00;59.00;0;W;54;27.44;918.89;58.50;21
8,5;0;S;F;749.37;27.00;59.00;0;W;54;27.41;908.92;58.53;21
9;0;S;F;710.35;27.00;59.00;0;W;54;27.39;897.89;58.56;21
9,5;0;S;F;701.17;27.00;59.00;0;W;54;27.37;887.53;58.58;21
10;0;S;F;722.06;27.00;59.00;0;W;54;27.35;879.26;58.60;21
10,5;0;S;F;731.24;27.00;59.00;0;W;54;27.33;872.21;58.62;21
11;0;S;F;710.57;28.00;59.00;0;W;54;27.36;864.86;58.64;21
11,5;0;S;F;686.60;28.00;59.00;0;W;54;27.39;857.11;58.65;21
12;0;S;F;639.72;28.00;59.00;0;W;54;27.42;848.06;58.67;21
12,5;0;S;F;599.94;28.00;59.00;0;W;54;27.44;838.13;58.68;21
13;0;S;F;577.60;28.00;59.00;0;W;54;27.46;828.11;58.69;21
13,5;0;S;F;575.70;28.00;59.00;0;W;54;27.48;818.76;58.70;21
14;0;S;F;575.70;28.00;59.00;0;W;54;27.50;810.08;58.71;21
14,5;0;S;F;575.32;28.00;59.00;0;W;54;27.52;801.99;58.72;21
15;0;S;F;575.68;28.00;59.00;0;W;54;27.53;794.44;58.73;21
15,5;0;S;F;575.69;28.00;59.00;0;W;54;27.55;787.39;58.74;21
16;0;S;F;575.70;28.00;59.00;0;W;54;27.56;780.77;58.75;21
16,5;0;S;F;574.69;28.00;59.00;0;W;54;27.58;774.53;58.76;21
17;0;S;F;574.75;28.00;59.00;0;W;54;27.59;768.65;58.76;21
17,5;0;S;F;575.14;28.00;59.00;0;W;54;27.60;763.12;58.77;21
18;0;S;F;575.05;28.00;59.00;0;W;54;27.61;757.90;58.78;21
18,5;0;S;F;574.82;28.00;59.00;0;W;54;27.62;752.95;58.78;21
19;0;S;F;574.83;27.00;59.00;0;W;54;27.61;748.26;58.79;21
19,5;0;S;F;575.22;28.00;59.00;0;W;54;27.62;743.82;58.79;21
20;0;S;F;575.70;28.00;59.00;0;W;54;27.63;739.62;58.80;21
20,5;0;S;F;578.02;27.00;59.00;0;W;54;27.61;735.68;58.80;21
21;0;S;F;587.82;28.00;59.00;0;W;54;27.62;732.16;58.81;21
