hour;drink;steps;food;light;temperature;humidity;people;work;drinksTotal;lightTotal;temperatureTotal;humidityTotal;peopleTotal
0,5;0;S;F;171.51;28.00;56.00;1;W;0;28.00;171.51;56.00;1
1;0;S;F;171.45;29.00;49.00;0;W;0;28.50;171.48;52.50;1
1,5;3;S;F;169.58;30.00;47.00;0;W;3;29.00;170.85;50.67;1
2;10;S;F;169.97;30.00;49.00;8;W;13;29.25;170.63;50.25;9
2,5;5;S;F;169.46;30.00;45.00;9;W;18;29.40;170.39;49.20;18
3;0;S;F;169.48;30.00;45.00;2;W;18;29.50;170.24;48.50;20
3,5;6;S;F;168.57;30.00;48.00;3;W;24;29.57;170.00;48.43;23
4;8;S;F;168.70;30.00;49.00;0;W;32;29.63;169.84;48.50;23
4,5;6;S;F;168.04;31.00;49.00;0;W;38;29.78;169.64;48.56;23
5;1;S;F;166.66;31.00;51.00;3;W;39;29.90;169.34;48.80;26
5,5;1;S;F;166.87;32.00;51.00;3;W;40;30.09;169.12;49.00;29
6;0;S;F;166.25;32.00;53.00;11;W;40;30.25;168.88;49.33;40
6,5;1;S;F;165.79;32.00;51.00;4;W;41;30.38;168.64;49.46;44
7;0;S;F;165.11;32.00;48.00;0;W;41;30.50;168.39;49.36;44
7,5;0;S;F;165.04;33.00;45.00;3;W;41;30.67;168.17;49.07;47
8;0;S;F;164.06;32.00;49.00;6;W;41;30.75;167.91;49.06;53
8,5;0;S;F;149.12;33.00;43.00;0;W;41;30.88;166.80;48.71;53
9;0;S;F;161.38;33.00;42.00;0;W;41;31.00;166.50;48.33;53
9,5;0;S;F;161.30;34.00;41.00;0;W;41;31.16;166.23;47.95;53
10;0;S;F;160.76;34.00;47.00;0;W;41;31.30;165.96;47.90;53
10,5;0;S;F;161.48;34.00;47.00;0;W;41;31.43;165.74;47.86;53
11;0;S;F;162.75;33.00;41.00;0;W;41;31.50;165.61;47.55;53
11,5;0;S;F;161.28;32.00;44.00;0;W;41;31.52;165.42;47.39;53
12;0;S;F;165.95;32.00;46.00;0;W;41;31.54;165.44;47.33;53
12,5;0;S;F;167.92;31.00;49.00;0;W;41;31.52;165.54;47.40;53
13;0;S;F;169.36;30.00;51.00;0;W;41;31.46;165.69;47.54;53
13,5;0;S;F;170.84;30.00;51.00;0;W;41;31.41;165.88;47.67;53
14;0;S;F;172.29;28.00;52.00;0;W;41;31.29;166.11;47.82;53
14,5;0;S;F;172.71;28.00;54.00;0;W;41;31.17;166.33;48.03;53
15;0;S;F;172.86;28.00;52.00;0;W;41;31.07;166.55;48.17;53
15,5;0;S;F;173.00;28.00;54.00;0;W;41;30.97;166.76;48.35;53
